City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Guerrero Negro,MX,27.9769,-114.0611,54.1,35,0,0.72,clear sky
1,Vostok,RU,46.4856,135.8833,-12.28,100,100,3.51,overcast clouds
2,Bubaque,GW,11.2833,-15.8333,79.43,56,0,10.13,clear sky
3,Hermanus,ZA,-34.4187,19.2345,76.89,53,7,23.02,clear sky
4,Barrow,US,71.2906,-156.7887,-29.18,68,0,6.91,clear sky
5,Nikolskoye,RU,59.7035,30.7861,19.29,96,82,6.89,broken clouds
6,Kodiak,US,57.79,-152.4072,33.31,80,0,5.75,clear sky
7,Beyneu,KZ,45.3167,55.2,40.42,73,100,19.17,overcast clouds
8,Bluff,NZ,-46.6,168.3333,48.79,66,66,10.8,broken clouds
9,Hit,IQ,33.6416,42.8251,56.1,56,42,10.0,scattered clouds
10,Rusera,IN,25.75,86.0333,56.64,91,100,6.8,overcast clouds
11,Ruzomberok,SK,49.0748,19.3075,38.16,98,98,3.87,overcast clouds
12,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,66,20,5.99,few clouds
13,Rikitea,PF,-23.1203,-134.9692,77.97,72,97,11.07,light rain
14,Vaini,TO,-21.2,-175.2,79.84,84,100,20.33,light rain
15,Shubarshi,KZ,48.5872,57.1869,27.07,83,100,17.92,overcast clouds
16,Honiara,SB,-9.4333,159.95,77.85,87,100,2.53,overcast clouds
17,Tomari,RU,47.7658,142.0683,17.11,82,100,20.02,overcast clouds
18,Half Moon Bay,US,37.4636,-122.4286,52.61,88,0,0.0,clear sky
19,Hobart,AU,-42.8794,147.3294,59.25,83,100,5.75,overcast clouds
20,Busselton,AU,-33.65,115.3333,72.09,73,0,6.46,clear sky
21,Kapaa,US,22.0752,-159.319,66.18,94,0,5.75,clear sky
22,Okha,RU,53.5739,142.9478,3.88,94,100,19.35,light snow
23,Cabo San Lucas,MX,22.8909,-109.9124,68.5,54,0,0.0,clear sky
24,Manggar,ID,-2.8833,108.2667,79.47,83,67,7.45,broken clouds
25,Araouane,ML,18.9048,-3.5265,82.06,7,0,9.22,clear sky
26,Mataura,NZ,-46.1927,168.8643,48.47,99,100,1.83,overcast clouds
27,Nanortalik,GL,60.1432,-45.2371,11.43,83,100,41.0,light snow
28,Haines Junction,CA,60.7522,-137.5108,-0.45,78,100,1.14,overcast clouds
29,Hithadhoo,MV,-0.6,73.0833,82.31,73,40,11.65,scattered clouds
30,Ostrovnoy,RU,68.0531,39.5131,3.6,97,85,9.75,overcast clouds
31,Upernavik,GL,72.7868,-56.1549,4.84,96,100,4.16,overcast clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,78.76,88,33,1.99,scattered clouds
33,Albany,US,42.6001,-73.9662,28.09,85,100,1.99,light snow
34,Ardakan,IR,32.31,54.0175,70.18,31,63,11.48,broken clouds
35,Fortuna,US,40.5982,-124.1573,43.99,93,100,1.01,overcast clouds
36,Carnarvon,AU,-24.8667,113.6333,82.47,61,9,12.66,clear sky
37,Port-Gentil,GA,-0.7193,8.7815,84.16,74,20,9.22,few clouds
38,Bengkulu,ID,-3.8004,102.2655,73.89,97,100,7.27,overcast clouds
39,Tombouctou,ML,20.0,-3.0,80.51,5,0,9.98,clear sky
40,Marzuq,YE,14.4,46.4667,68.7,38,22,7.4,few clouds
41,Kapit,MY,2.0167,112.9333,73.98,99,100,0.56,overcast clouds
42,Port Elizabeth,ZA,-33.918,25.5701,69.1,88,100,3.44,light rain
43,Znamenskoye,RU,57.1281,73.8282,22.8,86,100,8.88,overcast clouds
44,Iqaluit,CA,63.7506,-68.5145,-13.27,53,100,10.36,light snow
45,Opuwo,NA,-18.0607,13.84,87.46,20,44,13.94,scattered clouds
46,Muravlenko,RU,63.7898,74.523,15.31,96,98,7.52,overcast clouds
47,Yellowknife,CA,62.456,-114.3525,-34.71,73,20,3.44,mist
48,Gawler,AU,-34.6,138.7333,67.48,65,100,6.91,overcast clouds
49,Nemuro,JP,43.3236,145.575,21.34,81,74,8.99,broken clouds
50,Jamestown,US,42.097,-79.2353,21.09,62,100,4.0,overcast clouds
51,Ushuaia,AR,-54.8,-68.3,51.42,50,0,18.41,clear sky
52,Berlevag,NO,70.8578,29.0864,13.95,73,20,2.3,few clouds
53,Portel,BR,-1.9356,-50.8211,84.7,65,100,4.09,overcast clouds
54,Tiznit,MA,29.5833,-9.5,71.91,26,88,8.48,overcast clouds
55,Saint George,US,37.1041,-113.5841,35.35,45,0,1.01,clear sky
56,Atuona,PF,-9.8,-139.0333,78.37,75,11,16.46,few clouds
57,Husavik,IS,66.0449,-17.3389,26.51,94,100,20.07,light snow
58,Nouadhibou,MR,20.931,-17.0347,68.86,56,10,6.38,clear sky
59,Avarua,CK,-21.2078,-159.775,77.05,83,100,6.91,overcast clouds
60,Aklavik,CA,68.2191,-135.0107,-21.28,75,0,9.22,clear sky
61,Paamiut,GL,61.994,-49.6678,7.79,70,100,14.25,overcast clouds
62,Chokurdakh,RU,70.6333,147.9167,-30.46,100,55,1.3,broken clouds
63,Port Alfred,ZA,-33.5906,26.891,68.63,78,100,9.66,light rain
64,Tasiilaq,GL,65.6145,-37.6368,17.76,58,100,35.48,light snow
65,Georgetown,MY,5.4112,100.3354,78.89,93,40,3.44,scattered clouds
66,Marawi,PH,7.9986,124.2928,66.65,90,100,3.94,overcast clouds
67,Hovd,MN,48.0056,91.6419,-9.35,82,12,3.83,few clouds
68,Alice Springs,AU,-23.7,133.8833,60.35,82,3,0.0,clear sky
69,New Norfolk,AU,-42.7826,147.0587,58.91,73,81,1.77,broken clouds
70,Ribeira Grande,PT,38.5167,-28.7,63.0,77,40,17.27,scattered clouds
71,Port Blair,IN,11.6667,92.75,78.84,83,40,2.3,mist
72,Okhotsk,RU,59.3833,143.3,-0.08,73,35,15.77,scattered clouds
73,Cape Town,ZA,-33.9258,18.4232,72.01,52,0,7.0,clear sky
74,Moa,CU,20.6569,-74.9403,78.48,65,61,15.21,broken clouds
75,Samarai,PG,-10.6167,150.6667,81.32,80,95,9.24,overcast clouds
76,Praia,CV,14.9215,-23.5087,84.74,30,0,17.27,clear sky
77,Lorengau,PG,-2.0226,147.2712,80.55,75,74,6.96,broken clouds
78,Panorama,GR,40.5878,23.0315,44.13,50,0,1.01,clear sky
79,Punta Arenas,CL,-53.15,-70.9167,50.11,50,0,11.5,clear sky
80,Sept-Iles,CA,50.2001,-66.3821,5.05,51,40,5.01,scattered clouds
81,Parrita,CR,9.5201,-84.3225,90.99,56,7,4.5,clear sky
82,Dickinson,US,29.4608,-95.0513,30.97,83,100,5.01,overcast clouds
83,Tutoia,BR,-2.7619,-42.2744,89.58,75,100,11.81,overcast clouds
84,Puerto Escondido,MX,15.85,-97.0667,83.23,78,0,5.75,clear sky
85,Ridgecrest,US,35.6225,-117.6709,43.65,38,0,0.0,clear sky
86,Dikson,RU,73.5069,80.5464,-2.06,89,100,5.53,overcast clouds
87,Poum,NC,-20.2333,164.0167,81.09,86,100,17.78,moderate rain
88,Qaanaaq,GL,77.484,-69.3632,-7.37,61,96,8.88,overcast clouds
89,Pevek,RU,69.7008,170.3133,-24.12,100,94,3.91,overcast clouds
90,Ixtapa,MX,20.7,-105.2,72.23,82,40,4.61,scattered clouds
91,Mar Del Plata,AR,-38.0023,-57.5575,73.42,91,20,5.99,light rain
92,Nalut,LY,30.3333,10.85,64.35,15,5,3.91,clear sky
93,Bud,US,39.447,-86.1758,20.75,80,90,8.28,overcast clouds
94,Katsuura,JP,35.1333,140.3,46.42,86,28,9.13,scattered clouds
95,Penzance,GB,50.1186,-5.5371,49.21,76,20,20.71,few clouds
96,Roros,NO,62.5747,11.3842,26.44,68,24,5.75,few clouds
97,Hamilton,US,39.1834,-84.5333,24.42,87,100,4.0,snow
98,East London,ZA,-33.0153,27.9116,65.34,100,75,8.05,light rain
99,Coihaique,CL,-45.5752,-72.0662,66.81,45,20,8.05,few clouds
100,Arlit,NE,18.7369,7.3853,78.69,7,43,5.17,scattered clouds
101,Belmonte,BR,-15.8631,-38.8828,86.5,60,92,9.78,overcast clouds
102,Diapaga,BF,12.0708,1.7889,90.12,8,6,8.61,clear sky
103,Auki,SB,-8.7676,160.7034,77.23,87,100,4.41,overcast clouds
104,Udachnyy,RU,66.4167,112.4,-28.37,100,89,2.08,overcast clouds
105,Ponta Do Sol,PT,32.6667,-17.1,70.72,79,83,1.68,broken clouds
106,Mitsamiouli,KM,-11.3847,43.2844,82.69,89,75,5.75,broken clouds
107,Spirovo,RU,57.419,34.9766,7.07,99,100,1.72,overcast clouds
108,Kyren,RU,51.6828,102.1408,1.71,87,40,1.7,scattered clouds
109,Karratha,AU,-20.7377,116.8463,86.0,66,90,6.71,overcast clouds
110,Alofi,NU,-19.0595,-169.9187,76.89,83,100,10.36,overcast clouds
111,Victoria,HK,22.2855,114.1577,57.33,74,7,1.01,clear sky
112,Ryotsu,JP,38.0833,138.4333,32.38,87,100,13.65,snow
113,Ketchikan,US,55.3422,-131.6461,45.07,93,75,19.57,moderate rain
114,Airai,TL,-8.9266,125.4092,61.39,89,100,1.83,overcast clouds
115,Port Lincoln,AU,-34.7333,135.8667,63.32,80,52,16.35,broken clouds
116,Cidreira,BR,-30.1811,-50.2056,77.99,73,94,4.52,overcast clouds
117,Mahebourg,MU,-20.4081,57.7,80.26,94,75,13.8,broken clouds
118,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,21.85,snow
119,Challans,FR,46.8436,-1.8749,50.92,83,100,13.76,overcast clouds
120,Saurimo,AO,-9.6608,20.3916,69.33,86,91,4.34,overcast clouds
121,Yerbogachen,RU,61.2767,108.0108,-18.71,100,85,2.91,overcast clouds
122,Mnogovershinnyy,RU,53.9353,139.9242,-2.78,98,99,5.68,light snow
123,Wahiawa,US,21.5028,-158.0236,65.46,88,0,3.44,clear sky
124,Hualmay,PE,-11.0964,-77.6139,74.97,73,37,9.95,scattered clouds
125,Thompson,CA,55.7435,-97.8558,-27.24,68,0,3.44,clear sky
126,Havelock,US,34.8791,-76.9013,77.05,92,100,15.99,overcast clouds
127,Beloha,MG,-25.1667,45.05,74.8,80,1,19.8,clear sky
128,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,100,28.95,moderate rain
129,Sarangani,PH,5.4033,125.4636,80.64,71,100,20.33,overcast clouds
130,Nome,US,64.5011,-165.4064,6.87,52,0,13.8,clear sky
131,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,94,75,10.56,broken clouds
132,Castro,BR,-24.7911,-50.0119,66.83,96,100,8.55,overcast clouds
133,Coquimbo,CL,-29.9533,-71.3436,71.33,64,20,14.97,few clouds
134,Lazaro Cardenas,MX,17.9583,-102.2,77.23,60,1,1.9,clear sky
135,Saint-Augustin,CA,51.226,-58.6502,-2.76,72,100,9.08,overcast clouds
136,Basco,PH,20.4487,121.9702,73.27,75,96,28.45,overcast clouds
137,Severo-Kurilsk,RU,50.6789,156.125,27.54,87,100,3.87,overcast clouds
138,Olinda,BR,-8.0089,-34.8553,85.73,66,40,11.5,scattered clouds
139,Bredasdorp,ZA,-34.5322,20.0403,70.29,46,40,16.11,scattered clouds
140,Ca Mau,VN,9.1769,105.15,77.77,76,94,11.99,overcast clouds
141,Chuy,UY,-33.6971,-53.4616,80.24,70,38,6.24,scattered clouds
142,Aykhal,RU,66.0,111.5,-24.93,100,79,3.58,broken clouds
143,Vanimo,PG,-2.6741,141.3028,76.87,87,66,3.11,broken clouds
144,Kyshtovka,RU,56.555,76.6271,20.43,84,100,12.48,overcast clouds
145,Loandjili,CG,-4.7561,11.8578,84.31,70,20,9.22,few clouds
146,Sri Aman,MY,1.2376,111.4621,75.25,100,100,0.0,overcast clouds
147,Belaya Gora,RU,68.5333,146.4167,-39.08,100,55,1.12,broken clouds
148,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,82,100,10.58,overcast clouds
149,Lebu,CL,-37.6167,-73.65,64.76,77,12,15.28,few clouds
150,Banjar,ID,-8.19,114.9675,80.46,87,52,2.98,moderate rain
151,Kibre Mengist,ET,5.8833,38.9833,68.99,20,96,2.86,overcast clouds
152,Kalaleh,IR,37.3807,55.4916,67.6,30,0,4.61,clear sky
153,Quetta,PK,30.199,67.0097,43.77,40,0,2.01,clear sky
154,Kaduqli,SD,11.0167,29.7167,82.36,13,72,14.12,broken clouds
155,Namatanai,PG,-3.6667,152.4333,79.77,80,100,7.14,overcast clouds
156,Broken Hill,AU,-31.95,141.4333,65.91,39,95,9.22,overcast clouds
157,Ligayan,PH,4.6533,119.4706,80.37,80,100,10.58,overcast clouds
158,Bada,RU,51.392,109.8717,-1.66,99,99,4.5,overcast clouds
159,Brigantine,US,39.4101,-74.3646,55.04,99,100,27.31,moderate rain
160,Viedma,AR,-40.8135,-62.9967,66.72,71,100,9.84,overcast clouds
161,Lilongwe,MW,-13.9669,33.7873,68.88,92,98,7.56,light rain
162,Hvolsvollur,IS,63.7533,-20.2243,29.07,81,10,5.75,clear sky
163,Linares,CL,-35.85,-71.6,81.39,36,26,7.29,scattered clouds
164,Luderitz,NA,-26.6481,15.1594,76.26,59,3,15.64,clear sky
165,Grindavik,IS,63.8424,-22.4338,28.35,80,75,0.0,broken clouds
166,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,69,20,11.5,few clouds
167,Leningradskiy,RU,69.3833,178.4167,-16.94,88,3,6.38,clear sky
168,Nyurba,RU,63.2842,118.3319,-25.83,100,52,2.13,broken clouds
169,Cherskiy,RU,68.75,161.3,-34.69,99,8,3.42,clear sky
170,Butaritari,KI,3.0707,172.7902,82.02,75,11,17.0,light rain
171,Perur,IN,10.9667,76.9,76.69,69,55,5.75,haze
172,Kaitangata,NZ,-46.2817,169.8464,52.93,83,100,6.06,overcast clouds
173,Mlonggo,ID,-6.5333,110.7,78.31,87,100,4.29,overcast clouds
174,Binzhou,CN,37.3667,118.0167,21.78,35,0,5.41,clear sky
175,Saint Anthony,US,45.0205,-93.218,6.78,74,100,1.99,overcast clouds
176,Cayenne,GF,4.9333,-52.3333,84.24,83,20,5.99,few clouds
177,Los Aquijes,PE,-14.0967,-75.6908,71.2,44,47,4.68,scattered clouds
178,Goderich,CA,43.7501,-81.7165,14.92,72,81,8.05,broken clouds
179,Portland,US,45.5234,-122.6762,39.79,96,75,0.0,fog
180,Turiacu,BR,-1.6633,-45.3717,81.66,82,99,6.13,overcast clouds
181,Loukhi,RU,66.0764,33.0381,6.01,94,100,8.21,overcast clouds
182,Rawson,AR,-43.3002,-65.1023,64.69,77,75,23.02,broken clouds
183,Dukat,RU,62.55,155.55,-17.27,69,67,8.21,broken clouds
184,Neiafu,TO,-18.65,-173.9833,79.48,89,75,8.05,broken clouds
185,Kholodnyy,RU,62.7167,147.95,-17.01,82,96,3.94,overcast clouds
186,San Carlos De Bariloche,AR,-41.1456,-71.3082,65.95,39,75,13.8,broken clouds
187,Salalah,OM,17.0151,54.0924,75.29,64,0,5.75,clear sky
188,Nampula,MZ,-15.1165,39.2666,80.55,74,75,3.44,broken clouds
189,Sibolga,ID,1.7427,98.7792,75.43,89,100,3.36,overcast clouds
190,Pangnirtung,CA,66.1451,-65.7125,-14.8,70,75,16.11,broken clouds
191,Zhangye,CN,38.9342,100.4517,19.62,33,100,2.59,overcast clouds
192,Tuatapere,NZ,-46.1333,167.6833,48.81,85,100,4.83,overcast clouds
193,Ekimchan,RU,53.0667,132.9667,-7.85,98,100,2.3,overcast clouds
194,Panaba,MX,21.2833,-88.2667,87.28,44,6,6.44,clear sky
195,Chippewa Falls,US,44.9369,-91.3929,7.74,60,100,4.61,light snow
196,Egvekinot,RU,66.3167,-179.1667,-1.66,62,0,15.7,clear sky
197,Stromness,GB,58.965,-3.296,37.36,61,44,36.1,scattered clouds
198,Warmbad,NA,-28.45,18.7333,90.68,24,6,10.25,clear sky
199,Vung Tau,VN,10.346,107.0843,77.81,78,88,19.55,overcast clouds
200,Hasaki,JP,35.7333,140.8333,28.8,77,99,8.7,overcast clouds
201,Chara,RU,56.9064,118.2631,-14.98,86,96,1.41,overcast clouds
202,Luwuk,ID,-0.9516,122.7875,76.91,86,100,3.65,overcast clouds
203,Luau,AO,-10.7073,22.2247,65.68,97,87,4.29,moderate rain
204,Pelym,RU,61.0108,61.9978,6.01,98,100,1.92,overcast clouds
205,Narsaq,GL,60.9167,-46.05,10.62,66,97,24.43,overcast clouds
206,Olafsvik,IS,64.8945,-23.7142,28.85,70,69,11.61,broken clouds
207,Sitka,US,57.0531,-135.33,42.69,87,100,11.5,light rain
208,Kalmunai,LK,7.4167,81.8167,76.26,72,7,3.74,clear sky
209,Bonthe,SL,7.5264,-12.505,84.36,59,13,13.6,few clouds
210,Alvaraes,BR,-3.2208,-64.8042,87.67,61,94,2.66,overcast clouds
211,Pisco,PE,-13.7,-76.2167,76.01,73,0,8.05,clear sky
212,Dinar,TR,38.065,30.1656,33.58,87,71,4.97,broken clouds
213,Nizhnevartovsk,RU,60.9344,76.5531,24.82,93,100,8.95,light snow
214,Badou,TG,7.5833,0.6,90.81,26,12,3.22,few clouds
215,Turukhansk,RU,65.8167,87.9833,12.11,93,100,14.05,overcast clouds
216,General Pico,AR,-35.6566,-63.7568,82.27,43,100,4.68,overcast clouds
217,Pau,FR,43.4167,-0.5833,55.44,87,75,8.05,broken clouds
218,Gibara,CU,21.1097,-76.1317,81.72,55,39,16.51,scattered clouds
219,Hilo,US,19.7297,-155.09,67.24,75,40,9.22,scattered clouds
220,Saldanha,ZA,-33.0117,17.9442,75.25,68,0,23.64,clear sky
221,Northam,GB,51.0333,-4.2167,46.9,75,27,22.01,scattered clouds
222,Waipawa,NZ,-41.4122,175.5153,56.03,96,100,13.89,moderate rain
223,Port Townsend,US,48.117,-122.7605,45.0,96,100,21.0,overcast clouds
224,Shanhetun,CN,44.7,127.2,-5.21,100,94,5.59,overcast clouds
225,Luanda,AO,-8.8368,13.2343,78.66,72,100,12.8,overcast clouds
